100	0.9	0	0.0387778	0.0000235375	0.121378	0.0000334632	0.164436	0.0000464284	0.173625	0.0000678746	0.500778	0.0000932102
100	0.8	0	0.0453134	0.0000385419	0.128555	0.0000389078	0.17357	0.0000524611	0.195851	0.0000806192	0.455266	0.00012389
100	0.7	0	0.0575809	0.0000325817	0.144643	0.0000518647	0.191618	0.0000622512	0.218508	0.0000659021	0.385477	0.000116983
100	0.66	0	0.0667683	0.000175819	0.157457	0.000247732	0.203249	0.000202262	0.224499	0.000236365	0.345337	0.000590784
100	0.64	0	0.0732944	0.000137437	0.166919	0.000231336	0.210674	0.000228733	0.22659	0.000219445	0.31958	0.000463355
100	0.62	0	0.0825982	0.000150999	0.179234	0.000229973	0.218988	0.000275199	0.225299	0.000214229	0.290569	0.000382613
100	0.6	0	0.0935759	0.0000495351	0.194478	0.0000770343	0.227599	0.0000820744	0.22219	0.0000562265	0.258428	0.000133389
100	0.59	0	0.100509	0.000098404	0.20367	0.000145897	0.232197	0.0000975989	0.21908	0.0000895874	0.240571	0.000233716
100	0.58	0	0.108078	0.000107295	0.213273	0.000112549	0.236432	0.0000950672	0.215196	0.000113515	0.222844	0.000179219
100	0.57	0	0.116692	0.0000939566	0.223628	0.000123587	0.240717	0.00009079	0.210225	0.0000896939	0.204287	0.000188569
100	0.56	0	0.125778	0.0000929216	0.234497	0.000112766	0.244382	0.000100844	0.204593	0.0000866131	0.186036	0.000171843
100	0.55	0	0.135609	0.000108512	0.245527	0.000124279	0.247295	0.0000876418	0.198496	0.0000947304	0.168115	0.000162677
100	0.54	0	0.145559	0.000166292	0.25652	0.000154675	0.249797	0.0000930834	0.19155	0.00012648	0.151357	0.00013778
100	0.53	0	0.155949	0.0000996194	0.267362	0.000109579	0.25158	0.0000913204	0.18413	0.000121248	0.135497	0.000130283
100	0.52	0	0.166412	0.000121058	0.277306	0.000126038	0.252351	0.0000813764	0.17681	0.0000876793	0.121379	0.000115443
100	0.51	0	0.176615	0.000113744	0.287042	0.000114178	0.252589	0.0000879607	0.169358	0.0000888206	0.108425	0.000135101
100	0.5	0	0.186794	0.000118873	0.295812	0.000106465	0.252238	0.00013408	0.162211	0.00011745	0.0967591	0.000124967
100	0.49	0	0.19674	0.000145706	0.303894	0.000110615	0.251069	0.000091045	0.155192	0.0000860992	0.0867108	0.000098452
100	0.48	0	0.205931	0.000107353	0.311153	0.000108291	0.249776	0.0000870764	0.148557	0.0000837862	0.0779709	0.0000877879
100	0.47	0	0.215042	0.000177672	0.317568	0.000122353	0.248148	0.0000944462	0.142289	0.00012847	0.0701642	0.00011558
100	0.46	0	0.223799	0.000119859	0.323733	0.000100072	0.246052	0.000109812	0.136116	0.0000812892	0.0633353	0.000076781
100	0.45	0	0.232188	0.000112679	0.328928	0.0000981327	0.243822	0.0000832218	0.130581	0.0000808654	0.0573256	0.0000726168
100	0.44	0	0.240016	0.000136194	0.333716	0.000101517	0.241521	0.0000810196	0.125309	0.0000846739	0.0521404	0.0000628623
100	0.43	0	0.247924	0.000118893	0.337885	0.0000940475	0.238938	0.000090417	0.120266	0.0000904976	0.0475443	0.0000680135
100	0.42	0	0.255143	0.000142304	0.341629	0.000106274	0.236368	0.0000953937	0.115715	0.0000883203	0.043552	0.0000650101
100	0.41	0	0.261994	0.000116408	0.345026	0.000121908	0.233803	0.000101244	0.111475	0.0000721393	0.0399717	0.0000641336
100	0.4	0	0.268735	0.000069672	0.347996	0.000055532	0.23105	0.0000503472	0.107438	0.0000522201	0.0369156	0.0000389044
100	0.3	0	0.319412	0.0000778243	0.364188	0.0000545128	0.208024	0.0000599223	0.079836	0.000037972	0.0197196	0.000022332
100	0.2	0	0.348114	0.0000848833	0.368247	0.0000533581	0.193325	0.0000553154	0.0669762	0.0000379264	0.0139825	0.0000159219
100	0.1	0	0.361335	0.0000795149	0.368868	0.0000620947	0.186534	0.0000500167	0.061696	0.0000373188	0.0119731	0.0000150605
100	0	0	0.364805	0.0000785262	0.368929	0.0000520437	0.184684	0.0000486056	0.0603977	0.0000314654	0.0115307	0.0000145774
200	0	0	0.362346	0.0000388006	0.371499	0.0000327612	0.187761	0.0000328473	0.0617778	0.0000161534	0.0118029	7.46048e-6
300	0.9	0	0.0205389	0.0000126141	0.0710426	0.0000193312	0.109925	0.0000269912	0.161185	0.0000602573	0.637121	0.0000806939
300	0.8	0	0.0244323	0.0000130216	0.0768532	0.0000252879	0.121307	0.0000404246	0.191385	0.0000526835	0.585747	0.0000934543
300	0.7	0	0.0314158	0.0000192058	0.0890251	0.0000360916	0.142553	0.0000394661	0.22604	0.0000469611	0.510527	0.000114074
300	0.66	0	0.0364922	0.0000618398	0.098516	0.000111114	0.156277	0.000133934	0.239645	0.000230332	0.468507	0.000300177
300	0.64	0	0.0402167	0.000098919	0.105276	0.000160674	0.165095	0.000188836	0.24543	0.000155868	0.443359	0.000386721
300	0.62	0	0.0455814	0.000085554	0.114892	0.000215751	0.175332	0.000182132	0.249904	0.000152123	0.413565	0.000419861
300	0.6	0	0.053623	0.0000352742	0.129113	0.0000600327	0.189034	0.0000520675	0.251852	0.0000699455	0.375521	0.000121579
300	0.59	0	0.0593338	0.0000790798	0.13877	0.000120365	0.197032	0.000110126	0.251301	0.0000728685	0.352625	0.000251017
300	0.58	0	0.0668326	0.000068033	0.151009	0.000134363	0.206097	0.0000809331	0.248863	0.0000728975	0.326161	0.000216171
300	0.57	0	0.0762966	0.000072834	0.165959	0.000110904	0.215899	0.0000809964	0.244284	0.0000780427	0.296404	0.000196242
