,k,a,b,d_k,d_a,d_b,N_min,N_max
n1,0.3425097695100599,0.41670675265138074,0.014445491389092657,0.0008158186079208539,0.001584617379648554,0.00014449326891830772,3000.0,10000.0
n2,0.5726965688503186,0.1708574729001686,0.037394128918109275,0.00411639422063428,0.0010946827192580423,0.002126194635968857,3000.0,10000.0
n3,0.5878753755979742,0.21886466225576856,0.20183435675068076,0.0030174307542550393,0.0034843497752978414,0.0030882678799324156,3000.0,10000.0
n4,-1.2394660160755657,0.18929307377228927,0.7588155128498434,0.009562571712814083,0.003259769706547343,0.004920896607968105,500.0,10000.0
n_unique,0.831172132806294,0.20489397404822376,0.16156655004272755,0.001112237998374406,0.00019451491101706342,0.000431982949554516,500.0,10000.0
