N,J,h,mean_R_sq,err_mean_R_sq,mean_R_gyr_sq,err_mean_R_gyr_sq,mean_e,err_mean_e,mean_e_sq,err_mean_e_sq,mean_e_fourth,err_mean_e_fourth,mean_m,err_mean_m,mean_m_sq,err_mean_m_sq,mean_m_fourth,err_mean_m_fourth,steps
7200,0.53,0,162408,11964,0.0,,-1.80038,0.00212828,3.24392,0.00737573,10.5543,0.0454547,0.095598,0.000606042,0.0143302,0.000180271,0.000611115,1.55374e-05,184480000000
100,0.54,0,364,23,0.0,,-1.66542,0.000444272,2.8515,0.00150145,9.00608,0.00944163,0.493973,0.000456701,0.325699,0.000440588,0.191382,0.000396024,48290000000
300,0.54,0,1413,41,0.0,,-1.81134,0.000491251,3.31659,0.00181344,11.4732,0.0126939,0.41532,0.000502426,0.239789,0.000481663,0.115104,0.000369693,48690000000
600,0.54,0,3295,62,0.0,,-1.87534,0.00071668,3.53931,0.00270015,12.8458,0.0195812,0.366767,0.000803934,0.191767,0.000722978,0.0790792,0.000479261,47680000000
1200,0.54,0,7592,127,0.0,,-1.92667,0.00130337,3.72609,0.00507768,14.0941,0.0390066,0.321399,0.00175748,0.150835,0.00151381,0.0523816,0.000903886,43900000000
2400,0.54,0,18092,212,0.0,,-1.96093,0.000865255,3.85394,0.00339802,14.9882,0.0264118,0.271285,0.00104492,0.11027,0.000790781,0.0304042,0.000391604,268630000000
4800,0.54,0,44989,908,0.0,,-1.98186,0.00162547,3.93308,0.00647814,15.553,0.0516866,0.217923,0.00199494,0.07308,0.0012942,0.0145905,0.000487927,215330000000
6000,0.54,0,76427,15011,0.0,,-1.98984,0.0031419,3.96494,0.0119939,15.804,0.0903021,0.204745,0.00268897,0.0648485,0.00158938,0.0117431,0.000516262,189700000000
7200,0.54,0,109316,30265,0.0,,-1.99276,0.00475563,3.97705,0.0177945,15.9,0.131887,0.192607,0.00441896,0.0580822,0.00246229,0.00984322,0.000717734,160650000000
100,0.545,0,352,21,0.0,,-1.69728,0.00020152,2.95846,0.000678508,9.65371,0.00421592,0.514442,0.000258467,0.348602,0.000264372,0.212193,0.000234584,312000000000
300,0.545,0,1278,39,0.0,,-1.86144,0.000203434,3.50112,0.000752184,12.7622,0.00531342,0.454258,0.000230764,0.279403,0.000222972,0.146253,0.000176548,296890000000
600,0.545,0,2804,55,0.0,,-1.94079,0.000453367,3.78955,0.00178582,14.7075,0.014093,0.424563,0.000583816,0.246988,0.00056862,0.11806,0.000430759,284800000000
1200,0.545,0,5968,83,0.0,,-2.00839,0.000556276,4.04855,0.00222744,16.6322,0.0181162,0.404711,0.000887448,0.225736,0.000834816,0.100259,0.000583813,261370000000
2400,0.545,0,12157,201,0.0,,-2.0695,0.00110146,4.29253,0.00454475,18.5927,0.0392085,0.398046,0.00212447,0.217459,0.00191545,0.0922989,0.00123511,217200000000
4800,0.545,0,26277,4111,0.0,,-2.12814,0.00239509,4.53623,0.0101728,20.7057,0.0926877,0.419729,0.00623976,0.23568,0.00565561,0.101766,0.00364971,167470000000
6000,0.545,0,29716,3953,0.0,,-2.1373,0.00611151,4.57467,0.0258491,21.0429,0.233021,0.412167,0.0127756,0.228282,0.0109496,0.0962628,0.00647282,123960000000
7200,0.545,0,40673,8178,0.0,,-2.15874,0.00601161,4.66627,0.0259464,21.8791,0.241753,0.437668,0.0133786,0.25023,0.0124126,0.109008,0.00808726,108800000000
100,0.55,0,334,22,0.0,,-1.73011,0.000422477,3.07039,0.00146475,10.3523,0.00969401,0.535947,0.000436201,0.372839,0.000460631,0.234699,0.00042067,48640000000
300,0.55,0,1147,36,0.0,,-1.91122,0.000426344,3.68892,0.00163226,14.1365,0.0123642,0.496214,0.000554686,0.323651,0.000570102,0.182944,0.000474855,45780000000
600,0.55,0,2350,51,0.0,,-2.00556,0.000756395,4.04514,0.00301524,16.7306,0.0243844,0.490178,0.0010763,0.31421,0.00108862,0.170809,0.000856528,43570000000
1200,0.55,0,4392,86,0.0,,-2.0935,0.00135361,4.39713,0.00562303,19.5854,0.0490105,0.509987,0.00243694,0.3317,0.0024652,0.180345,0.00189715,37340000000
2400,0.55,0,7019,132,0.0,,-2.18162,0.00110179,4.76782,0.00476438,22.8898,0.0447945,0.577375,0.00257556,0.399581,0.00269817,0.230344,0.00217242,184550000000
4800,0.55,0,9683,374,0.0,,-2.26155,0.00154235,5.11851,0.00689399,26.2786,0.0690569,0.688647,0.00499422,0.522346,0.0055384,0.332568,0.00474895,118160000000
6000,0.55,0,18018,7290,0.0,,-2.28033,0.00260443,5.20411,0.0112787,27.1606,0.110122,0.725712,0.00822537,0.565169,0.0088625,0.370958,0.00759228,102710000000
7200,0.55,0,48380,37007,0.0,,-2.2944,0.00485445,5.2706,0.0187652,27.8813,0.152873,0.759171,0.00605893,0.60551,0.00730023,0.408902,0.00705706,77700000000
100,0.56,0,299,20,0.0,,-1.79326,0.000433749,3.2909,0.0015593,11.7869,0.0105391,0.579109,0.000462759,0.422809,0.000511752,0.282741,0.000499729,45630000000
300,0.56,0,918,31,0.0,,-2.00788,0.000428305,4.0656,0.00169814,17.0705,0.0137416,0.584961,0.000635112,0.422858,0.000689987,0.272415,0.000615595,41670000000
600,0.56,0,1598,41,0.0,,-2.12838,0.00092392,4.54954,0.00386569,21.0466,0.0342508,0.630143,0.00139639,0.470314,0.00170292,0.309697,0.00164374,37740000000
1200,0.56,0,2418,58,0.0,,-2.23705,0.00133745,5.01435,0.00585782,25.3395,0.0565596,0.715698,0.0027026,0.568242,0.00311883,0.397962,0.00291911,29960000000
2400,0.56,0,3334,70,0.0,,-2.32189,0.000624843,5.39546,0.00286419,29.2022,0.030181,0.812986,0.00182134,0.689481,0.00220873,0.520545,0.00221473,145330000000
4800,0.56,0,4873,103,0.0,,-2.37897,0.000684326,5.66128,0.00323431,32.09,0.0361705,0.880241,0.00159515,0.783693,0.00216143,0.631694,0.00258811,92510000000
6000,0.56,0,9431,3616,0.0,,-2.39201,0.00148733,5.72362,0.00668209,32.8002,0.0693152,0.894599,0.0016157,0.805795,0.00234385,0.661353,0.00303163,82860000000
7200,0.56,0,8539,2055,0.0,,-2.40244,0.000909546,5.77298,0.00432055,33.355,0.0491492,0.903681,0.00129776,0.820111,0.0021005,0.680959,0.00298544,65360000000
100,0.57,0,273,16,0.0,,-1.85513,0.000458149,3.51339,0.00170257,13.3158,0.0126449,0.624166,0.000447163,0.476533,0.000507021,0.33661,0.000505747,45360000000
300,0.57,0,726,30,0.0,,-2.09576,0.000443353,4.42241,0.0018376,20.0765,0.0161841,0.671066,0.00064775,0.525838,0.000788662,0.374596,0.000802599,40060000000
600,0.57,0,1141,33,0.0,,-2.22555,0.000611308,4.96821,0.00267308,24.9771,0.0258434,0.745373,0.00104533,0.613108,0.00124117,0.457034,0.00124671,36140000000
1200,0.57,0,1609,44,0.0,,-2.32894,0.00123629,5.43045,0.005691,29.6286,0.060545,0.836005,0.00284393,0.728308,0.00356922,0.578516,0.00376164,26210000000
2400,0.57,0,2421,57,0.0,,-2.39789,0.000385814,5.75262,0.00183581,33.1549,0.0208235,0.898832,0.000819454,0.817012,0.00108273,0.68593,0.00126469,125860000000
4800,0.57,0,8579,4494,0.0,,-2.44054,0.00179321,5.95938,0.00694566,35.5687,0.0588547,0.928362,0.00141741,0.864695,0.00199012,0.754559,0.00237423,84140000000
6000,0.57,0,4708,93,0.0,,-2.45435,0.00071542,6.02476,0.00350862,36.32,0.0422139,0.937055,0.000635271,0.879275,0.00112267,0.776655,0.00181215,68690000000
7200,0.57,0,20858,15267,0.0,,-2.45588,0.00727188,6.0394,0.028695,36.5829,0.259891,0.927915,0.0135214,0.871711,0.015653,0.77412,0.0160646,60250000000
100,0.58,0,245,17,0.0,,-1.91486,0.000456882,3.73488,0.00173061,14.9211,0.0132541,0.668743,0.000451135,0.531344,0.000517788,0.394057,0.000529109,43820000000
300,0.58,0,589,24,0.0,,-2.17089,0.000400526,4.73807,0.00170361,22.9134,0.015731,0.746082,0.000603224,0.620225,0.000733621,0.475337,0.000761999,37040000000
600,0.58,0,876,32,0.0,,-2.29773,0.000493351,5.29093,0.0022275,28.2296,0.022901,0.826571,0.000871778,0.721693,0.00109402,0.581991,0.00118362,33210000000
1200,0.58,0,1264,38,0.0,,-2.38884,0.000668623,5.7112,0.00313158,32.7228,0.034468,0.896905,0.00131283,0.818092,0.00183691,0.695462,0.00218143,24760000000
2400,0.58,0,2042,49,0.0,,-2.44862,0.000278875,5.99775,0.00136409,36.0212,0.0163348,0.933954,0.000403989,0.875594,0.000579363,0.774797,0.000759892,120190000000
4800,0.58,0,3555,79,0.0,,-2.48882,0.000411048,6.19517,0.00202929,38.4036,0.0247719,0.951348,0.000771607,0.90627,0.00101342,0.824287,0.00119752,78680000000
6000,0.58,0,4273,87,0.0,,-2.5,0.000390855,6.25068,0.00195277,39.0886,0.0243813,0.956309,0.000182293,0.914939,0.000339598,0.838516,0.00059463,65580000000
7200,0.58,0,6206,1108,0.0,,-2.50735,0.000497391,6.28748,0.00246903,39.5488,0.0306009,0.959058,0.000231932,0.920115,0.000426052,0.847714,0.000733099,46780000000
100,0.59,0,219,17,0.0,,-1.9684,0.000374945,3.93783,0.00144352,16.4518,0.0114252,0.708679,0.00042369,0.581427,0.000500854,0.448254,0.000530682,46860000000
300,0.59,0,490,25,0.0,,-2.23157,0.000437011,5.00088,0.00190493,25.4155,0.0183791,0.804802,0.000632686,0.698137,0.000782775,0.56498,0.000845657,35540000000
600,0.59,0,711,28,0.0,,-2.35288,0.000413082,5.54488,0.00190355,30.938,0.0206046,0.879931,0.00063787,0.797772,0.000870334,0.677922,0.00105385,31160000000
1200,0.59,0,1114,38,0.0,,-2.43352,0.000478301,5.92571,0.00231026,35.2012,0.0270115,0.92799,0.000929426,0.868285,0.0012254,0.769098,0.00143385,23620000000
2400,0.59,0,1847,44,0.0,,-2.48843,0.000205781,6.19395,0.00102202,38.4056,0.0126151,0.95268,0.000155523,0.908965,0.000254364,0.830122,0.000382913,122200000000
4800,0.59,0,3256,65,0.0,,-2.52627,0.000410255,6.38279,0.00206916,40.7593,0.0263271,0.964515,0.000176801,0.930605,0.000331349,0.867118,0.000591338,75780000000
6000,0.59,0,11092,7214,0.0,,-2.5332,0.00247829,6.4207,0.00964395,41.2825,0.0841421,0.965687,0.00128006,0.933565,0.00172522,0.873654,0.00200344,59510000000
7200,0.59,0,28003,23195,0.0,,-2.53864,0.00320109,6.44757,0.0139265,41.625,0.139912,0.966812,0.00188599,0.935725,0.00283031,0.877926,0.00361232,46320000000
100,0.6,0,200,16,35.541,0.0352377,-2.01855,0.000291759,4.13261,0.00115213,17.9863,0.00951933,0.747023,0.000360633,0.630922,0.000421647,0.503555,0.000452139,71000000000
300,0.6,0,417,23,93.1805,0.113055,-2.2827,0.000245535,5.22814,0.00111623,27.6875,0.0116131,0.851158,0.000401237,0.762037,0.000513683,0.642534,0.00057998,63900000000
600,0.6,0,625,28,169.704,0.190294,-2.3949,0.00010901,5.74275,0.000513763,33.142,0.00574159,0.913138,0.000182282,0.848,0.000254831,0.74651,0.000315855,294500000000
1200,0.6,0,1004,35,0.0,,-2.46949,0.000196895,6.10147,0.000962276,37.3022,0.0115145,0.947171,0.000208402,0.900791,0.000291267,0.820065,0.000385064,147330000000
100,0.7,0,90,11,27.2848,0.0174896,-2.30931,0.000208178,5.35458,0.000930253,29.1155,0.0094991,0.944218,0.000157033,0.90645,0.000215126,0.85029,0.000279236,62000000000
300,0.7,0,216,16,75.3884,0.0616488,-2.51592,0.000145021,6.33509,0.000721445,40.2651,0.00894936,0.979689,6.10116e-05,0.961355,9.41943e-05,0.928255,0.000142681,61400000000
600,0.7,0,403,32,149.513,3.89933,-2.59629,0.000404217,6.74334,0.00182746,45.5407,0.019303,0.986792,0.000331477,0.974319,0.000407988,0.950617,0.000467745,269300000000
1200,0.7,0,691,28,0.0,,-2.65409,7.5255e-05,7.04523,0.00039864,49.6652,0.00559592,0.990894,1.06749e-05,0.981943,2.09081e-05,0.96448,4.03019e-05,133960000000
100,0.8,0,72,6,25.1808,0.014891,-2.41916,0.00013719,5.86298,0.000655313,34.6162,0.00754954,0.983756,6.32513e-05,0.970265,9.75861e-05,0.947225,0.00014709,62200000000
300,0.8,0,170,16,71.2205,0.0636351,-2.60548,0.000142516,6.79125,0.000737066,46.1943,0.00987619,0.993484,2.1909e-05,0.987182,4.09392e-05,0.975092,7.65121e-05,58500000000
600,0.8,0,330,21,138.441,0.122653,-2.68079,4.21847e-05,7.18786,0.000226733,51.7006,0.0032765,0.99563,5.13752e-06,0.991319,9.9721e-06,0.982863,1.90208e-05,267200000000
1200,0.8,0,1290,673,0.0,,-2.73104,0.0038915,7.46157,0.0188329,55.7484,0.22537,0.993283,0.00358912,0.989202,0.00457736,0.982267,0.00539466,126850000000
100,0.9,0,57,8,24.2203,0.0171955,-2.47578,0.000106343,6.13585,0.000520333,37.8008,0.006265,0.993601,2.8816e-05,0.987767,4.78221e-05,0.977151,7.82909e-05,62400000000
300,0.9,0,162,12,69.1092,0.0572876,-2.65544,6.63135e-05,7.05301,0.000351155,49.7914,0.00492813,0.997209,8.25421e-06,0.994465,1.60771e-05,0.989106,3.07129e-05,61100000000
600,0.9,0,304,22,134.527,0.0900863,-2.72886,3.62799e-05,7.44741,0.000197802,55.4863,0.00294081,0.998116,2.32604e-06,0.996246,4.61e-06,0.992549,9.05941e-06,262000000000
1200,0.9,0,651,79,0.0,,-2.78013,0.00124138,7.72985,0.0064977,59.7726,0.0895027,0.997501,0.00117182,0.995557,0.00179666,0.992363,0.00237107,125550000000
