N,J,h,mean_R_sq,err_mean_R_sq,mean_R_gyr_sq,err_mean_R_gyr_sq,mean_e,err_mean_e,mean_e_sq,err_mean_e_sq,mean_e_fourth,err_mean_e_fourth,mean_m,err_mean_m,mean_m_sq,err_mean_m_sq,mean_m_fourth,err_mean_m_fourth,steps,steps
2400,0.45,0,5123,107,1209.89,11.2201,-1.30004,0.000323812,1.69149,0.000835586,2.87041,0.00278848,0,0,0,0,0,0,60000000000,
1200,0.46,0,2303,49,545.879,1.02234,-1.30632,0.000111188,1.70893,0.000288949,2.93705,0.000980566,0,0,0,0,0,0,178000000000,
2400,0.46,0,4068,81,1051.69,6.89576,-1.33216,0.000337121,1.77597,0.000889806,3.16336,0.00310802,0,0,0,0,0,0,59000000000,
1200,0.47,0,1972,46,498.133,1.08091,-1.33478,0.000113629,1.78395,0.000301031,3.19887,0.00106103,0,0,0,0,0,0,174000000000,
2400,0.47,0,3386,69,946.945,6.32512,-1.36298,0.000246678,1.85893,0.000669353,3.46466,0.00246993,0,0,0,0,0,0,58000000000,
1200,0.48,0,1708,42,459.339,0.833258,-1.36162,9.91281e-05,1.85619,0.000267926,3.46147,0.000983001,0,0,0,0,0,0,170000000000,
2400,0.48,0,2880,61,863.62,6.10316,-1.39111,0.000210903,1.93633,0.000584137,3.75807,0.00224706,0,0,0,0,0,0,57000000000,
1200,0.49,0,1503,42,427.711,0.668705,-1.38687,9.11515e-05,1.92543,0.000251792,3.72291,0.000964726,0,0,0,0,0,0,165000000000,
2400,0.49,0,2520,54,802.193,4.42064,-1.41728,0.000223628,2.00974,0.000630816,4.04749,0.00251451,0,0,0,0,0,0,57000000000,
100,0.5,0,170,13,38.3444,0.021409,-1.17742,0.000130257,1.40241,0.00030593,2.05421,0.000858221,0,0,0,0,0,0,112000000000,
300,0.5,0,458,24,112.307,0.0688948,-1.31037,0.00011732,1.72382,0.000303767,3.01746,0.00103385,0,0,0,0,0,0,87000000000,
600,0.5,0,796,29,214.019,0.335431,-1.36798,0.000163573,1.87503,0.000446539,3.54291,0.0016725,0,0,0,0,0,0,63000000000,
1200,0.5,0,1353,42,404.285,1.39065,-1.41049,0.00019718,1.99141,0.00055643,3.98087,0.00224146,0,0,0,0,0,0,35000000000,
100,0.6,0,108,11,29.8903,0.0101552,-1.31257,0.000119596,1.73383,0.000307808,3.07966,0.001055,0,0,0,0,0,0,110000000000,
300,0.6,0,254,19,82.6522,0.0486645,-1.46924,8.41127e-05,2.16269,0.000246173,4.71175,0.0010624,0,0,0,0,0,0,82000000000,
600,0.6,0,444,23,157.107,0.182519,-1.53484,8.22823e-05,2.35784,0.000251083,5.57905,0.0011734,0,0,0,0,0,0,57000000000,
1200,0.6,0,798,29,299.971,0.856954,-1.58305,0.00012512,2.50711,0.000395102,6.29627,0.00197294,0,0,0,0,0,0,32000000000,
100,0.7,0,69,11,25.9629,0.00821736,-1.40169,8.01683e-05,1.97188,0.000219369,3.9429,0.000838125,0,0,0,0,0,0,112000000000,
300,0.7,0,194,16,72.3276,0.0335525,-1.56498,6.30938e-05,2.45164,0.000196976,6.03479,0.000964016,0,0,0,0,0,0,81000000000,
600,0.7,0,357,22,139.014,0.167938,-1.63341,8.08329e-05,2.66929,0.000262929,7.13865,0.0013935,0,0,0,0,0,0,54000000000,
1200,0.7,0,665,27,269.237,0.853465,-1.68309,0.000106862,2.83346,0.000359192,8.0358,0.00203078,0,0,0,0,0,0,30000000000,
100,0.8,0,68,9,23.9308,0.0052385,-1.46011,6.70419e-05,2.13671,0.000193886,4.60522,0.000818604,0,0,0,0,0,0,114000000000,
300,0.8,0,176,15,67.3728,0.0322755,-1.62584,5.57706e-05,2.64498,0.000180651,7.01305,0.000950332,0,0,0,0,0,0,79000000000,
600,0.8,0,320,20,130.152,0.145163,-1.69524,6.30611e-05,2.87465,0.000213484,8.27304,0.001225,0,0,0,0,0,0,53000000000,
1200,0.8,0,605,27,253.816,0.87774,-1.74544,0.000105603,3.04699,0.000367865,9.28918,0.002233,0,0,0,0,0,0,30000000000,
100,0.9,0,51,9,22.7383,0.00381302,-1.5001,5.63984e-05,2.2536,0.000167474,5.10785,0.000743438,0,0,0,0,0,0,113000000000,
300,0.9,0,156,16,64.5318,0.0276172,-1.6664,5.01051e-05,2.77799,0.000165945,7.72945,0.000923892,0,0,0,0,0,0,80000000000,
600,0.9,0,300,19,125.294,0.146455,-1.736,5.74376e-05,3.01424,0.000199015,9.09224,0.00119546,0,0,0,0,0,0,52000000000,
1200,0.9,0,579,25,245.583,0.966332,-1.78608,8.72008e-05,3.19035,0.000311189,10.1818,0.00198214,0,0,0,0,0,0,29000000000,
