N,J,h,mean_R_sq,err_mean_R_sq,mean_R_gyr_sq,err_mean_R_gyr_sq,lambda1,err_lambda1,lambda2,err_lambda2,acperical,err_aspherical,bulk2,err_bulk2,bulk3,err_bulk3,bulk4,err_bulk4,bulk5,err_bulk5,bulk6,err_bulk6,steps
1200,0.39,0,8019,99,1300.89,3.16572,1140.58,3.31021,160.311,0.267821,0.510909,0.000947375,0.100531,4.56098e-05,0.220274,5.61781e-05,0.263883,3.21511e-05,0.239162,4.23684e-05,0.175845,7.79446e-05,214000000000
2400,0.39,0,20682,241,3267.68,30.02,2873.64,32.1049,394.042,2.38793,0.519036,0.00382546,0.0984033,8.67874e-05,0.217554,0.000131303,0.263573,8.30406e-05,0.241598,0.000106796,0.178722,0.000148724,68000000000
100,0.4,0,306,18,54.6068,0.0380995,47.2973,0.0377312,7.30954,0.00402983,0.483405,0.000285943,0.128124,6.35591e-05,0.251003,7.00037e-05,0.262386,4.67233e-05,0.208769,5.38855e-05,0.145393,0.000100306,112000000000
300,0.4,0,1189,40,206.593,0.179708,179.379,0.197662,27.2134,0.0270115,0.488198,0.000481236,0.105283,3.08263e-05,0.225005,4.94079e-05,0.261798,3.12866e-05,0.232913,3.72203e-05,0.173735,5.33982e-05,92000000000
600,0.4,0,2844,54,485.029,0.793502,422.157,0.812175,62.8722,0.0796864,0.493206,0.000702138,0.0977014,3.78465e-05,0.215675,7.28976e-05,0.261033,3.46836e-05,0.24126,4.98727e-05,0.183736,6.88455e-05,73000000000
1200,0.4,0,6956,99,1163.01,5.5781,1015.4,6.06576,147.61,0.775046,0.500172,0.00271223,0.0931568,8.6885e-05,0.209947,0.000104015,0.260463,8.32766e-05,0.246201,9.01e-05,0.189947,0.000133319,47000000000
1200,0.41,0,5847,83,1018.07,2.20575,883.798,2.35858,134.275,0.244462,0.487435,0.001116,0.085687,3.25283e-05,0.198816,5.45421e-05,0.256345,4.22416e-05,0.253557,5.78525e-05,0.20533,5.83603e-05,201000000000
2400,0.41,0,13927,209,2391.88,20.3313,2084.16,20.5672,307.722,1.94852,0.495669,0.00323304,0.082326,0.000107225,0.194154,0.000161358,0.255681,7.47285e-05,0.25739,0.000126359,0.210321,0.000180158,64000000000
1200,0.42,0,4870,72,890.295,2.78567,767.36,2.84779,122.935,0.172118,0.471807,0.00103615,0.0784636,3.51171e-05,0.187601,6.2915e-05,0.25163,3.0355e-05,0.260472,4.99729e-05,0.221589,7.81468e-05,204000000000
2400,0.42,0,10752,187,1966.73,18.974,1692.72,20.65,274.012,2.18478,0.469331,0.00503545,0.0745365,8.45024e-05,0.181795,0.000121914,0.250509,7.31159e-05,0.265092,0.000100405,0.227951,0.000160419,62000000000
1200,0.43,0,4025,65,780.143,1.63902,667.008,1.703,113.135,0.171135,0.456629,0.000932512,0.0716957,3.27929e-05,0.176465,4.76706e-05,0.246221,2.8416e-05,0.266882,3.66571e-05,0.238512,7.46013e-05,194000000000
2400,0.43,0,8336,132,1649.35,13.0358,1406.58,13.7443,242.77,1.60246,0.451891,0.0037948,0.0670374,7.27171e-05,0.169523,0.000122429,0.244317,7.10314e-05,0.272267,9.38497e-05,0.246752,0.00016591,60000000000
1200,0.44,0,3301,63,683.713,1.37028,578.785,1.42285,104.928,0.150213,0.438316,0.000969272,0.0652522,2.65385e-05,0.165522,4.60014e-05,0.240237,3.40686e-05,0.272638,3.48723e-05,0.256145,6.98919e-05,191000000000
2400,0.44,0,6403,118,1391.33,12.2561,1172.23,13.0583,219.098,1.39271,0.427543,0.00430982,0.0601892,7.32587e-05,0.157493,0.000115758,0.237767,6.81246e-05,0.278676,9.36351e-05,0.265782,0.000178562,59000000000
1200,0.45,0,2761,57,608.343,1.38182,510.432,1.59724,97.9107,0.279478,0.42317,0.00164375,0.0594178,2.83465e-05,0.155153,5.37229e-05,0.233818,2.85887e-05,0.277544,4.69392e-05,0.273879,6.76213e-05,182000000000
2400,0.45,0,5123,107,1209.89,11.2201,1012.11,11.6436,197.783,1.09576,0.421491,0.00368689,0.0540547,6.66123e-05,0.1463,0.000117379,0.23061,6.69754e-05,0.283986,8.28446e-05,0.284966,0.000166681,60000000000
1200,0.46,0,2303,49,545.879,1.02234,453.986,1.08785,91.893,0.164602,0.410459,0.00105328,0.0541456,2.28517e-05,0.145284,4.06137e-05,0.227049,2.64578e-05,0.281627,2.97567e-05,0.291723,6.13197e-05,178000000000
2400,0.46,0,4068,81,1051.69,6.89576,864.735,7.36696,186.958,1.06512,0.392986,0.00393436,0.0485395,8.69022e-05,0.135733,0.000106016,0.223236,6.36063e-05,0.288308,8.09299e-05,0.304108,0.00016733,59000000000
1200,0.47,0,1972,46,498.133,1.08091,410.844,1.23402,87.2891,0.182577,0.397629,0.00150799,0.0494471,2.13043e-05,0.136155,4.18468e-05,0.22015,2.75858e-05,0.284771,3.5386e-05,0.309321,6.47385e-05,174000000000
2400,0.47,0,3386,69,946.945,6.32512,771.337,7.02996,175.607,1.05001,0.378478,0.00422621,0.0435964,4.76002e-05,0.125839,8.78966e-05,0.215485,5.62953e-05,0.291665,6.68114e-05,0.323347,0.000135678,58000000000
1200,0.48,0,1708,42,459.339,0.833258,375.801,0.93559,83.5385,0.144253,0.385987,0.00119629,0.0453243,1.88724e-05,0.127695,3.62748e-05,0.213163,2.67896e-05,0.286996,2.49553e-05,0.326679,5.68629e-05,170000000000
2400,0.48,0,2880,61,863.62,6.10316,695.016,6.90888,168.604,1.14006,0.360395,0.00468796,0.0394253,3.77162e-05,0.116952,7.66604e-05,0.207903,5.75707e-05,0.293941,5.09889e-05,0.341719,0.000119052,57000000000
1200,0.49,0,1503,42,427.711,0.668705,347.055,0.762333,80.6556,0.133971,0.374212,0.0011271,0.0416613,1.62357e-05,0.119945,3.20541e-05,0.206183,2.54189e-05,0.288435,2.35504e-05,0.343645,5.52104e-05,165000000000
2400,0.49,0,2520,54,802.193,4.42064,640.751,5.09543,161.442,0.940045,0.35068,0.00422252,0.0358363,3.86468e-05,0.10893,7.6822e-05,0.2003,5.76104e-05,0.295262,4.6555e-05,0.359617,0.000129221,57000000000
100,0.5,0,170,13,38.3444,0.021409,32.2755,0.0212039,6.0689,0.00238351,0.429774,0.000230552,0.0866183,3.2735e-05,0.196047,5.06999e-05,0.239484,5.10505e-05,0.236606,4.68068e-05,0.238252,9.06361e-05,112000000000
300,0.5,0,458,24,112.307,0.0688948,93.0728,0.074242,19.2338,0.0102036,0.404729,0.000351102,0.0578797,2.35979e-05,0.14883,3.9103e-05,0.218511,4.01396e-05,0.267229,3.58443e-05,0.306817,8.0996e-05,87000000000
600,0.5,0,796,29,214.019,0.335431,175.059,0.361082,38.9597,0.0500693,0.385453,0.000905128,0.046528,2.33023e-05,0.128162,5.9509e-05,0.207679,5.60912e-05,0.279914,4.46419e-05,0.337418,9.56333e-05,63000000000
1200,0.5,0,1353,42,404.285,1.39065,326.114,1.63844,78.1707,0.361049,0.36523,0.00311939,0.038475,3.30144e-05,0.112879,6.93368e-05,0.199235,5.74188e-05,0.289065,4.4834e-05,0.360225,0.000125273,35000000000
100,0.6,0,108,11,29.8903,0.0101552,24.459,0.0108872,5.43125,0.00182574,0.38641,0.000208096,0.0632039,2.4319e-05,0.158829,5.02134e-05,0.209868,4.82187e-05,0.235468,6.51495e-05,0.330561,0.000112152,110000000000
300,0.6,0,254,19,82.6522,0.0486645,66.1328,0.056148,16.5194,0.00991916,0.354064,0.000424239,0.0373346,1.38458e-05,0.106182,2.74347e-05,0.171373,3.39006e-05,0.255349,3.7857e-05,0.429319,7.44117e-05,82000000000
600,0.6,0,444,23,157.107,0.182519,124.057,0.219904,33.0498,0.0466183,0.334683,0.000989414,0.0276443,1.20078e-05,0.0841877,2.51678e-05,0.153425,3.51506e-05,0.262833,3.37992e-05,0.471745,7.14582e-05,57000000000
1200,0.6,0,798,29,299.971,0.856954,234.107,1.09162,65.8641,0.277899,0.316903,0.00287974,0.0208821,1.61768e-05,0.0681446,3.61868e-05,0.139647,4.7197e-05,0.268005,4.62207e-05,0.50326,0.000103943,32000000000
100,0.7,0,69,11,25.9629,0.00821736,20.8359,0.00889268,5.12695,0.00151475,0.358356,0.000187919,0.0505659,2.75075e-05,0.138543,4.55252e-05,0.187109,4.47946e-05,0.217147,5.61269e-05,0.405161,7.5124e-05,112000000000
300,0.7,0,194,16,72.3276,0.0335525,56.8531,0.0418762,15.4745,0.00976065,0.327998,0.000444955,0.0283128,1.14857e-05,0.0863012,1.89321e-05,0.139639,2.72396e-05,0.223809,4.10056e-05,0.521643,6.86318e-05,81000000000
