,k,a,b,d_k,d_a,d_b,N_min,N_max
n1,0.31289934936682406,0.4791181808612686,0.014961430199545352,0.001383389155301249,0.002224652760215909,0.00017047621553388864,967.0,2875.0
n2,0.5674023767696175,0.2138364514799378,0.052791367357264495,0.0031683948439848136,0.0011141955973655866,0.0015563704643218824,967.0,2875.0
n3,0.5421929428760093,0.24407181418144372,0.20250229070558448,0.005275389248537176,0.002297285953247158,0.002335672537615492,967.0,2875.0
n4,-1.2003695830255856,0.22543705706916672,0.7413321808004194,0.011843039033362868,0.004707179469392832,0.005629335383430061,197.0,2875.0
